Symbol,CompanyName,DpmName
ANIK,ANIKA THERAPEUTICS INC COM,"Group One Trading, L.P."
ANIP,ANI PHARMACEUTICALS INC COM,"Susquehanna Securities, LLC"
ANIX,ANIXA BIOSCIENCES INC COM,
ANNX,ANNEXON INC COM,Citadel Securities LLC
ANPC,ANPAC BIO MED SCIENCE CO LTD SPONSORED ADS,Belvedere Trading LLC
ANSS,ANSYS INC COM,GTS Securities LLC
ANTE,AIRNET TECHNOLOGY INC SPONSORED ADS,"Susquehanna Securities, LLC"
ANTM,ANTHEM INC COM,"Susquehanna Securities, LLC"
ANY,SPHERE 3D CORP NEW COM,Belvedere Trading LLC
AON,AON PLC SHS CL A,"Susquehanna Securities, LLC"
AOS,SMITH A O CORP COM,"Susquehanna Securities, LLC"
AOSL,ALPHA & OMEGA SEMICONDUCTOR LT SHS,
AOUT,AMERICAN OUTDOOR BRANDS INC COM,Morgan Stanley & Co. LLC
AP,AMPCO-PITTSBURG CORP COM,"Wolverine Trading, LLC"
APA,APA CORPORATION COM,"Susquehanna Securities, LLC"
APAM,ARTISAN PARTNERS ASSET MGMT IN CL A,Citadel Securities LLC
APD,AIR PRODS & CHEMS INC COM,GTS Securities LLC
APDN,APPLIED DNA SCIENCES INC COM,"Susquehanna Securities, LLC"
APEI,AMERICAN PUB ED INC COM,Morgan Stanley & Co. LLC
APEN,APOLLO ENDOSURGERY INC COM,Citadel Securities LLC
APG,API GROUP CORP COM STK,"Group One Trading, L.P."
APH,AMPHENOL CORP NEW CL A,GTS Securities LLC
API,AGORA INC ADS,"Wolverine Trading, LLC"
APLE,APPLE HOSPITALITY REIT INC COM NEW,"Susquehanna Securities, LLC"
APLS,APELLIS PHARMACEUTICALS INC COM,"Susquehanna Securities, LLC"
APLT,APPLIED THERAPEUTICS INC COM,
APO,APOLLO GLOBAL MGMT INC COM CL A,GTS Securities LLC
APOG,APOGEE ENTERPRISES INC COM,GTS Securities LLC
APP,APPLOVIN CORP COM CL A,Morgan Stanley & Co. LLC
APPF,APPFOLIO INC COM CL A,"Susquehanna Securities, LLC"
APPH,APPHARVEST INC COM,"Wolverine Trading, LLC"
APPN,APPIAN CORP CL A,"Susquehanna Securities, LLC"
APPS,DIGITAL TURBINE INC COM NEW,"Group One Trading, L.P."
APR,APRIA INC COM,Citadel Securities LLC
APRE,APREA THERAPEUTICS INC COM,
APRN,BLUE APRON HLDGS INC CL A NEW,Morgan Stanley & Co. LLC
APSG,APOLLO STRATEGIC GROWTH CAPTL SHS CL A,"Wolverine Trading, LLC"
APT,ALPHA PRO TECH LTD COM,Citadel Securities LLC
APTO,APTOSE BIOSCIENCES INC COM NEW,"Susquehanna Securities, LLC"
APTS,PREFERRED APT CMNTYS INC COM,
APTV,APTIV PLC SHS,"Susquehanna Securities, LLC"
APTX,APTINYX INC COM,
APYX,APYX MEDICAL CORPORATION COM,
AQB,AQUABOUNTY TECHNOLOGIES INC COM NEW,"Wolverine Trading, LLC"
AQMS,AQUA METALS INC COM,"Group One Trading, L.P."
AQN,ALGONQUIN PWR UTILS CORP COM,"Wolverine Trading, LLC"
AQST,AQUESTIVE THERAPEUTICS INC COM,Citadel Securities LLC
AQUA,EVOQUA WATER TECHNOLOGIES CORP COM,
AQWA,GLOBAL X FDS CLEAN WTR ETF,Belvedere Trading LLC
AR,ANTERO RESOURCES CORP COM,"Susquehanna Securities, LLC"
ARAV,ARAVIVE INC COM,"Susquehanna Securities, LLC"
ARAY,ACCURAY INC COM,"Group One Trading, L.P."
ARC,ARC DOCUMENT SOLUTIONS INC COM,"Wolverine Trading, LLC"
ARCB,ARCBEST CORP COM,GTS Securities LLC
ARCC,ARES CAPITAL CORP COM,Citadel Securities LLC
ARCE,ARCO PLATFORM LTD COM CL A,
ARCH,ARCH RESOURCES INC CL A,Citadel Securities LLC
ARCO,ARCOS DORADOS HOLDINGS INC SHS CLASS -A -,"Group One Trading, L.P."
ARCT,ARCTURUS THERAPEUTICS HLDGS COM,"Group One Trading, L.P."
ARDS,ARIDIS PHARMACEUTICALS INC COM,
ARDX,ARDELYX INC COM,Citadel Securities LLC
ARE,ALEXANDRIA REAL ESTATE EQ INC COM,"Wolverine Trading, LLC"
AREC,AMERICAN RES CORP CL A,"Susquehanna Securities, LLC"
ARES,ARES MANAGEMENT CORPORATION CL A COM STK,"Susquehanna Securities, LLC"
ARGT,GLOBAL X FDS GB MSCI AR ETF,"Susquehanna Securities, LLC"
